"customer_id","customer_name","customer_email","customer_address","age","gender","occupation","policy_id","policy_type","policy_start_date","claim_id","claim_date","claim_amount"
8608,"Amy Fisher","halestanley@example.org","PSC 6123, Box 7398
APO AE 27636",58,"Male","Legal secretary",5520,"HEALTH_INSURANCE","2023-06-07",30,"2022-11-04",5615
9829,"Wanda Waller","anna86@example.com","USNS Krause
FPO AP 59204",18,"Male","Psychologist, forensic",6981,"HEALTH_INSURANCE","2023-04-05",31,"2022-05-08",5400
5025,"Brenda Howard","kimberly42@example.org","98093 Sean Route Suite 326
North Louisbury, MA 59603",26,"Male","Product designer",2882,"LIFE_INSURANCE","2023-12-06",32,"2022-03-01",100
3651,"Thomas Cook","richard33@example.org","361 Travis Route
Tranberg, NJ 89052",38,"Male","Acupuncturist",8773,"HEALTH_INSURANCE","2022-06-28",33,"2021-07-03",2013
4041,"Allen Rose","leonchristopher@example.net","00249 Evans Parkway Suite 075
New Joseph, IN 52571",37,"Male","Editorial assistant",8408,"LIFE_INSURANCE","2024-01-07",34,"2022-04-10",4068
6259,"Jody Cook","wbradley@example.com","Unit 3314 Box 7896
DPO AE 62006",61,"Male","Legal secretary",287,"LIFE_INSURANCE","2023-04-29",35,"2021-08-24",4746
2413,"Colleen Fisher","nancyjimenez@example.com","323 Katherine Plain Suite 329
Debbieport, AZ 75039",60,"Male","Agricultural consultant",6250,"LIFE_INSURANCE","2023-01-03",36,"2023-03-05",2293
2979,"Debbie Hamilton","wmcfarland@example.org","19143 Case Drive Apt. 335
Gomezstad, VA 55579",63,"Female","Optician, dispensing",2950,"LIFE_INSURANCE","2022-05-12",37,"2021-12-29",514
4066,"Lauren Watkins","pamelasmith@example.com","1787 Austin Mountain Apt. 589
North Randyburgh, ME 64063",49,"Male","Pharmacologist",404,"HEALTH_INSURANCE","2022-12-31",38,"2022-08-26",9133
2234,"Angela Baker DDS","logancruz@example.net","865 Rebecca Mountains Suite 106
Rodriguezfurt, SD 85885",41,"Male","Biomedical scientist",5996,"AUTO_INSURANCE","2023-12-09",39,"2021-11-30",7811
8542,"Lori Page","xvang@example.org","0759 Lynn Spurs Apt. 644
New Debrabury, IN 38559",46,"Male","Energy manager",4994,"HEALTH_INSURANCE","2023-02-24",40,"2021-08-11",613
2319,"Monica Wood","taramcmahon@example.net","95616 Anthony Burgs
Port Arielberg, AS 34333",27,"Male","Radiographer, diagnostic",7528,"AUTO_INSURANCE","2024-01-09",41,"2022-04-21",4153
3959,"Alexander Atkinson","lkennedy@example.org","042 Thompson Drive Suite 694
Port Chelsea, NE 13502",44,"Female","Nurse, children's",819,"HEALTH_INSURANCE","2022-06-19",42,"2022-10-23",7447
2804,"Kendra Ward","simmonswilliam@example.com","4205 Michael Drives
Kylebury, MH 27496",58,"Female","Publishing copy",2134,"LIFE_INSURANCE","2023-04-01",43,"2022-03-30",1445
4963,"Douglas Baker","ijoseph@example.net","Unit 4411 Box 5414
DPO AA 64723",59,"Male","Radiographer, therapeutic",2818,"AUTO_INSURANCE","2022-04-21",44,"2021-06-20",8560
6841,"Robert Houston","jennifer15@example.net","28447 Francisco Squares Suite 879
Lake Amber, CO 99010",28,"Male","Surveyor, hydrographic",8906,"AUTO_INSURANCE","2023-11-15",45,"2021-07-07",7124
6883,"Bryan Cohen","vsanders@example.com","63238 Jennifer Mountain
Wendyside, WY 87968",52,"Female","Ambulance person",6102,"LIFE_INSURANCE","2022-10-23",46,"2022-03-26",3259
7147,"Krista Burgess","pamelahiggins@example.net","87411 Armstrong Gardens Suite 824
Nguyenhaven, VA 41218",34,"Female","Engineer, technical sales",1284,"AUTO_INSURANCE","2024-03-13",47,"2022-12-27",5471
2729,"Kenneth Hoffman","thomashughes@example.org","312 John Manors
Lake Saraberg, FM 48776",29,"Male","Animal technologist",369,"HEALTH_INSURANCE","2022-09-18",48,"2021-11-07",5163
9470,"Priscilla Quinn","leeangela@example.org","542 Kevin Springs
Richardhaven, ME 70058",23,"Female","Ergonomist",5918,"AUTO_INSURANCE","2022-04-16",49,"2021-12-20",6287
9791,"Danny Thompson","robertevans@example.net","5371 Warren Rue
Josephport, VT 51027",64,"Female","Educational psychologist",8066,"HEALTH_INSURANCE","2023-12-25",50,"2023-03-19",8105
6808,"Amanda Newton","jessica65@example.com","85153 Anthony Turnpike
East Jesusland, CO 10702",55,"Female","Technical sales engineer",7311,"AUTO_INSURANCE","2023-12-15",51,"2022-06-18",1802
3032,"Bobby Jimenez","zhartman@example.org","4551 Daniel Plains Suite 152
East Tinastad, NE 72580",36,"Male","Community arts worker",7847,"AUTO_INSURANCE","2024-02-23",52,"2022-09-22",9369
1610,"Katie Lewis","xzamora@example.net","PSC 5094, Box 5311
APO AP 30138",38,"Female","Geochemist",8376,"AUTO_INSURANCE","2022-11-09",53,"2022-03-28",9108
5764,"Andrew Kelly","hughesjack@example.com","579 Natalie Roads Apt. 194
North Courtney, MS 24397",39,"Female","Transport planner",2788,"HEALTH_INSURANCE","2022-06-15",54,"2022-01-16",3983
5351,"Robin Pierce","sheila76@example.com","156 Jason Estates
Robertfort, LA 60001",62,"Male","Engineer, site",3677,"HEALTH_INSURANCE","2022-04-21",55,"2021-08-19",1639
4634,"George Zimmerman","elizabeth64@example.com","3727 Gonzales Crescent
Jenningschester, FM 78441",58,"Female","Youth worker",4545,"AUTO_INSURANCE","2023-01-31",56,"2022-06-08",8123
2825,"Karen Anderson","fdavis@example.com","9095 Hammond Summit Suite 822
Port Amy, AR 98613",34,"Female","Ceramics designer",5359,"AUTO_INSURANCE","2022-11-04",57,"2022-08-06",2303
5666,"Richard Palmer","denisefloyd@example.com","0260 Samantha Roads
Hollandside, VI 69136",47,"Male","Surveyor, planning and development",5506,"HEALTH_INSURANCE","2023-07-24",58,"2021-06-09",4964
9610,"Daniel Henderson DVM","aprilrodriguez@example.org","947 Anthony Hills Apt. 604
Christopherburgh, LA 55342",20,"Male","Radiographer, diagnostic",4904,"AUTO_INSURANCE","2023-06-22",59,"2022-10-17",2470
3718,"Robert Barton","thudson@example.net","USNS Adams
FPO AE 79587",39,"Male","Trading standards officer",4141,"AUTO_INSURANCE","2022-11-13",60,"2021-10-08",8220
5333,"Heather Lewis","collinsscott@example.org","21286 John Alley Apt. 206
Jonathontown, IL 18579",54,"Female","Scientist, audiological",992,"HEALTH_INSURANCE","2022-09-12",61,"2021-04-28",2885
697,"Justin Flowers","aprilhines@example.com","260 Juan Keys
Smithmouth, ND 44069",60,"Female","Physiotherapist",7059,"LIFE_INSURANCE","2022-07-29",62,"2021-07-25",414
3919,"Kyle Anderson","gutierrezmonique@example.net","64182 James Centers
New Megan, SC 31934",34,"Female","Engineer, control and instrumentation",4192,"LIFE_INSURANCE","2023-02-04",63,"2022-09-15",5462
8738,"Daniel Gonzales","sergiobrown@example.net","9938 Brandon Flats Apt. 169
Port Joshuamouth, VT 44386",62,"Female","Print production planner",3634,"AUTO_INSURANCE","2023-01-02",64,"2021-06-29",8227
7743,"Bruce Anderson","bryan26@example.net","791 Chan Oval
Peterberg, VT 95447",30,"Female","Comptroller",1627,"AUTO_INSURANCE","2022-12-23",65,"2022-04-28",7551
8134,"Brandy Monroe","john14@example.com","4319 King Shoal Apt. 211
East Kevin, MA 48035",48,"Male","Teacher, English as a foreign language",6241,"AUTO_INSURANCE","2023-02-03",66,"2023-01-12",1341
3420,"Michael Charles","meghan01@example.net","679 Anthony Walk
Port Natalie, NM 75100",56,"Female","Audiological scientist",1037,"HEALTH_INSURANCE","2023-12-26",67,"2021-07-29",5110
1920,"Karen Stewart","rodriguezkyle@example.org","6293 Wilson Circle Apt. 497
West Catherineburgh, HI 46272",36,"Male","Clothing/textile technologist",2288,"LIFE_INSURANCE","2024-01-30",68,"2023-02-27",3095
361,"Bonnie Martinez","millerjessica@example.org","8494 Adams Ports
Hamiltonborough, TX 51607",33,"Male","Chemical engineer",1998,"AUTO_INSURANCE","2022-06-16",69,"2022-08-10",6818
8863,"Daniel Baker","paulhayes@example.org","07780 Susan Ports Suite 419
North Todd, OK 45727",49,"Male","Associate Professor",7314,"HEALTH_INSURANCE","2023-10-07",70,"2023-02-25",1079
8977,"John Hoffman","scottamy@example.com","15062 Lewis Walks Apt. 803
Thomasport, TN 42467",56,"Male","Designer, exhibition/display",3427,"AUTO_INSURANCE","2022-12-18",71,"2023-01-02",6780
7525,"Tyler Roberts","kristin54@example.net","64569 Patrick Mill Apt. 113
North Isabel, FL 74677",30,"Male","Accounting technician",6207,"HEALTH_INSURANCE","2022-07-31",72,"2022-10-27",3338
9594,"Mary French","pattersonvalerie@example.org","58013 Robinson Lane Suite 689
East Lauren, GU 14165",53,"Female","Chief Marketing Officer",575,"HEALTH_INSURANCE","2023-12-14",73,"2021-12-24",3182
9713,"Shelley Daniels","bsmith@example.com","35772 Tyrone Key Apt. 042
Cookechester, MT 29751",33,"Female","Industrial buyer",8131,"AUTO_INSURANCE","2023-10-26",74,"2021-09-02",6040
720,"Joseph Reynolds","bbrooks@example.org","30722 Ian Vista Suite 215
Jenniferfurt, TN 68098",34,"Male","Clothing/textile technologist",2558,"LIFE_INSURANCE","2023-09-19",75,"2022-08-15",224
1921,"Joanne Ruiz","westmaureen@example.com","058 Michael Burgs
North Jessicaland, LA 06616",50,"Female","Investment banker, operational",5436,"LIFE_INSURANCE","2023-05-01",76,"2022-03-17",9243
7303,"Randy Castro","dwebb@example.com","51029 Debra Overpass
Port Brandihaven, NM 62216",59,"Female","Lobbyist",6801,"LIFE_INSURANCE","2022-06-18",77,"2022-06-10",1044
423,"Yolanda Washington","walkerpatricia@example.org","875 Tracy Prairie
New Alejandromouth, KS 79861",33,"Female","Editor, magazine features",7134,"AUTO_INSURANCE","2022-12-21",78,"2021-10-14",1169
7456,"Erin Gill","martinmichael@example.com","14867 Hernandez Pine Suite 837
Port Jasmine, MO 89511",41,"Male","Therapist, nutritional",5901,"LIFE_INSURANCE","2023-03-17",79,"2021-04-24",9027
2592,"Kimberly Franklin","tiffanyjones@example.net","00806 Billy Trace Apt. 737
Mackenzieview, AS 93980",45,"Male","Horticultural therapist",4289,"AUTO_INSURANCE","2023-08-21",80,"2022-10-07",4089
7271,"Lance Watkins","brett68@example.com","6279 Linda Center
Penaborough, MO 81385",29,"Female","Nurse, learning disability",7400,"AUTO_INSURANCE","2022-12-31",81,"2022-02-23",6537
7502,"Richard Robinson","williammyers@example.com","Unit 5861 Box 2624
DPO AE 52186",33,"Female","Metallurgist",5760,"LIFE_INSURANCE","2023-01-15",82,"2021-07-05",2857
5613,"David Robinson","smartinez@example.org","506 Nicole Mews
North Jamie, DC 81550",61,"Female","Physiological scientist",4522,"AUTO_INSURANCE","2022-03-27",83,"2022-03-13",7951
427,"Glen Suarez","dedwards@example.net","170 Jeffery Avenue
North Jacob, PR 32611",21,"Female","Web designer",2070,"LIFE_INSURANCE","2024-02-13",84,"2022-03-20",4720
4337,"Harold Downs","rhughes@example.com","96136 Benjamin Garden
Moniqueton, NY 23760",37,"Female","Firefighter",5354,"AUTO_INSURANCE","2023-10-29",85,"2021-08-31",5095
9704,"Michael Wright","mikesilva@example.org","2193 Joshua Mews Apt. 332
Byrdshire, PW 19207",55,"Female","Therapist, speech and language",8060,"LIFE_INSURANCE","2022-12-31",86,"2022-11-09",2140
514,"Gary Newman","jenniferroach@example.org","1431 Dickson Ridge
Natalieport, CO 19763",60,"Male","Optometrist",354,"LIFE_INSURANCE","2022-09-06",87,"2021-04-19",4033
7425,"Jessica Wyatt","casey77@example.net","344 Moore Coves
West Lisaport, FL 05254",55,"Male","Designer, exhibition/display",3374,"LIFE_INSURANCE","2023-12-18",88,"2023-02-09",1953
917,"Charles Mcknight","kathryn34@example.org","896 Jennifer Forest
West Bianca, MT 85166",31,"Male","Producer, television/film/video",525,"LIFE_INSURANCE","2022-06-28",89,"2021-08-31",6268
1850,"Holly Lam","pottscassidy@example.net","929 Anderson Parks
Reeseborough, AK 90598",38,"Female","Fisheries officer",7861,"LIFE_INSURANCE","2023-02-16",90,"2022-02-24",3020
5798,"Dale Robinson","maykyle@example.net","97810 Robin Shore Suite 863
South Bradley, WV 94756",44,"Female","Operational researcher",3041,"AUTO_INSURANCE","2023-12-15",91,"2022-03-06",6762
8086,"Daniel Castaneda","paula17@example.net","2367 Nathan Trafficway Apt. 148
Michaelfort, NC 26328",35,"Female","Interpreter",5557,"LIFE_INSURANCE","2022-07-31",92,"2022-05-23",8779
2621,"William Gonzales","taylorconnie@example.net","18851 Peter Bridge Apt. 218
Port Aaron, NV 51634",24,"Male","Consulting civil engineer",3135,"LIFE_INSURANCE","2023-08-03",93,"2021-09-22",6747
615,"Angelica Norris","adam16@example.org","60716 Patrick Cliff Suite 904
New Kimberly, CA 24784",51,"Male","Land",3974,"HEALTH_INSURANCE","2022-09-10",94,"2021-12-29",6107
7820,"Richard Kirby II","davistravis@example.org","9714 Kent Highway
Adamfort, MO 76552",28,"Male","Call centre manager",6185,"LIFE_INSURANCE","2023-11-18",95,"2022-06-11",3149
516,"Heather George","lopezjoy@example.net","09691 Tyler Unions Suite 710
Lake Samanthaville, AR 65967",27,"Female","Economist",6587,"AUTO_INSURANCE","2022-08-07",96,"2022-08-26",702
9740,"Scott Kennedy","annettepage@example.org","962 Mccoy Lake
Michaelburgh, GA 10362",54,"Female","Biomedical engineer",3779,"LIFE_INSURANCE","2023-02-07",97,"2022-03-07",2593
8758,"Troy Smith","larryholder@example.org","056 Perez Plains Suite 190
Port Denisemouth, TN 65297",53,"Male","Engineer, automotive",7510,"HEALTH_INSURANCE","2024-02-08",98,"2021-11-11",1684
9692,"Kyle Wise","wrussell@example.com","2313 Jeffrey Locks Apt. 313
New Claudia, IA 14210",44,"Male","Designer, fashion/clothing",2518,"HEALTH_INSURANCE","2022-11-22",99,"2022-12-11",4512
9991,"Dr. Michelle Chase","yvonnevargas@example.net","4812 Adam Dam
West Carolyn, WA 20034",30,"Male","Event organiser",7554,"LIFE_INSURANCE","2023-11-18",100,"2021-03-31",1895
7053,"Christina Lopez","rodriguezdonna@example.com","35084 Timothy Common
Lake Kellyburgh, GU 33850",34,"Male","Printmaker",1412,"HEALTH_INSURANCE","2024-02-03",101,"2021-03-22",1033
3157,"Kathleen Zamora","sarahcortez@example.net","75465 Hodge Via Suite 249
North Michaelshire, ND 17269",59,"Female","Furniture conservator/restorer",1500,"AUTO_INSURANCE","2023-06-19",102,"2022-02-20",6117
9362,"Austin Peters","danielle69@example.com","8800 Alvarez Stream Apt. 865
Henrymouth, AS 06708",45,"Male","Insurance claims handler",2424,"AUTO_INSURANCE","2023-08-22",103,"2021-04-02",3097
6607,"Sheri Jackson","vevans@example.net","74210 Seth Avenue Suite 173
Youngport, LA 92842",32,"Male","Purchasing manager",6639,"LIFE_INSURANCE","2023-11-03",104,"2022-01-14",1804
6885,"Jeffrey Murphy","francowendy@example.com","65840 Harris Way Suite 744
New Jesseside, WY 14170",32,"Female","English as a second language teacher",398,"LIFE_INSURANCE","2022-11-14",105,"2023-03-02",6436
1316,"Kevin Payne","jhernandez@example.com","31726 Baxter Brooks
East Shane, MI 67287",35,"Male","English as a second language teacher",2279,"LIFE_INSURANCE","2023-03-02",106,"2021-11-15",8839
4950,"Zachary Johnson","santosleslie@example.net","0654 Sparks Ranch
North Jose, DE 71644",54,"Female","Archivist",3816,"HEALTH_INSURANCE","2023-12-05",107,"2022-07-06",8083
182,"Emily Ramos","sandrews@example.org","2884 Mathews Square Apt. 285
Kellyton, RI 05197",36,"Male","Lighting technician, broadcasting/film/video",8282,"HEALTH_INSURANCE","2023-01-28",108,"2022-06-30",8825
4083,"Kyle Dudley","tkim@example.net","1209 Palmer Streets Suite 294
New George, ID 60093",64,"Male","Engineering geologist",7145,"LIFE_INSURANCE","2024-01-07",109,"2023-03-09",9131
7273,"Catherine Berry MD","teresa64@example.net","8930 Thomas Mission
Meyerborough, ME 05457",23,"Female","Research officer, political party",923,"AUTO_INSURANCE","2023-02-16",110,"2021-07-17",3209
5943,"Mark Maldonado","christopher41@example.com","7642 Romero Burg Suite 605
South Jon, CA 10142",29,"Female","Development worker, international aid",3700,"LIFE_INSURANCE","2022-12-08",111,"2022-06-27",8740
8036,"Travis Hawkins","harveycarl@example.com","Unit 9085 Box 0039
DPO AA 61800",47,"Male","Tax adviser",6960,"HEALTH_INSURANCE","2022-09-15",112,"2022-05-07",8538
4117,"Debra Bullock PhD","heather16@example.com","59416 Jennifer Glen
Port Ashley, MA 96428",58,"Female","Commissioning editor",3919,"LIFE_INSURANCE","2023-01-21",113,"2022-04-14",1663
4276,"James Munoz","lalexander@example.com","USCGC Davis
FPO AP 89620",53,"Female","Surveyor, hydrographic",4697,"AUTO_INSURANCE","2022-07-23",114,"2022-11-12",4062
8303,"Brett Blair","katiewilson@example.com","164 Jessica Turnpike Apt. 741
West Alisonshire, IL 68514",54,"Female","Fast food restaurant manager",7627,"HEALTH_INSURANCE","2023-01-15",115,"2022-12-28",9843
8056,"Robert Willis","belljames@example.org","593 Curtis Forks
Johnstonside, NV 32914",23,"Male","Editorial assistant",6216,"LIFE_INSURANCE","2024-02-09",116,"2021-11-14",1463
539,"Ryan Romero","rcrawford@example.org","79901 Sonya Squares Apt. 111
Jenniferchester, IL 53905",51,"Female","Dance movement psychotherapist",6302,"AUTO_INSURANCE","2023-02-25",117,"2022-01-11",7644
6994,"Megan Crawford","joneskimberly@example.org","41578 John Corner
Jonesburgh, VT 44059",22,"Female","Engineering geologist",6198,"HEALTH_INSURANCE","2022-10-19",118,"2021-12-28",937
1576,"Gabrielle Cameron","cortezmichael@example.org","51013 Davis Track Apt. 719
South Brandonfurt, PA 29745",63,"Male","Arts administrator",3578,"HEALTH_INSURANCE","2023-09-15",119,"2022-10-03",9852
8791,"Kaitlyn Young","angie11@example.com","97360 Fletcher Knolls Suite 074
Rodneyhaven, KS 01767",62,"Male","Broadcast engineer",4602,"LIFE_INSURANCE","2024-02-29",120,"2022-11-29",1694
1187,"Jillian Wood","charleskevin@example.com","94458 Kent Fort Suite 392
East Jacqueline, NH 24306",39,"Female","Trade union research officer",704,"HEALTH_INSURANCE","2024-01-30",121,"2022-07-17",2221
8921,"Brandon Mullins","flynntaylor@example.net","06666 Danielle Points
Maxstad, RI 66252",45,"Male","Radiation protection practitioner",4941,"LIFE_INSURANCE","2023-06-10",122,"2021-07-17",3220
6483,"Taylor Reid","westdonald@example.com","383 Phelps Underpass Suite 723
Lake Davidberg, VA 66398",57,"Female","Engineer, manufacturing systems",2990,"AUTO_INSURANCE","2022-04-18",123,"2021-06-20",1415
7090,"Hayden Price","williamscassidy@example.com","988 Mariah Well Apt. 229
East Philliphaven, NY 52753",44,"Female","Horticultural consultant",1695,"HEALTH_INSURANCE","2023-12-31",124,"2022-12-07",1390
6576,"Lisa Richardson","zhayes@example.com","PSC 1750, Box 1769
APO AP 88017",57,"Female","Occupational psychologist",8675,"AUTO_INSURANCE","2022-09-08",125,"2022-11-22",9531
6592,"Elizabeth Vaughn","sarahnguyen@example.org","998 Joan Dale
North Scotthaven, VT 11113",29,"Female","International aid/development worker",4476,"LIFE_INSURANCE","2022-05-23",126,"2022-10-31",8326
4421,"John Spence","tylergibson@example.net","731 Torres Center
Lebury, TN 25445",21,"Female","Local government officer",2351,"HEALTH_INSURANCE","2022-03-21",127,"2022-12-24",9230
5025,"Brenda Howard","kimberly42@example.org","98093 Sean Route Suite 326
North Louisbury, MA 59603",26,"Male","Product designer",2882,"LIFE_INSURANCE","2023-12-06",128,"2021-04-19",2324
5780,"Stacy Atkins","erik54@example.org","PSC 5868, Box 7887
APO AA 07991",55,"Male","Energy engineer",5882,"HEALTH_INSURANCE","2022-10-29",129,"2021-06-26",1223
6703,"Dr. Christina Vincent","courtneyanderson@example.net","25234 Smith Loop Suite 374
East Joshuaborough, WA 49715",23,"Female","Records manager",6512,"AUTO_INSURANCE","2023-02-16",130,"2022-07-05",5197
3272,"Michelle Williams","kellywest@example.org","86225 Steven Parks Apt. 215
Bowenhaven, NY 86758",30,"Female","Illustrator",312,"LIFE_INSURANCE","2024-01-06",131,"2021-09-08",4778
5727,"Veronica Marquez","gstafford@example.net","5381 Lynch Corner Suite 597
North John, MI 83395",28,"Female","Outdoor activities/education manager",1400,"LIFE_INSURANCE","2023-04-14",132,"2022-03-16",7407
4896,"Martha Randall","rodneyrodriguez@example.net","1497 Erik Motorway Apt. 638
East Helen, ND 93578",49,"Male","Arts administrator",8599,"HEALTH_INSURANCE","2022-07-15",133,"2021-11-21",5623
7745,"Ashley Pugh","petersonbriana@example.com","4578 Jamie Track Apt. 114
Deannashire, HI 61379",21,"Female","Medical laboratory scientific officer",2820,"AUTO_INSURANCE","2023-12-29",134,"2022-08-28",178
9083,"Erin Pacheco","pamela99@example.org","5747 Farmer Drives
East Nathan, WA 49225",32,"Female","Furniture designer",1580,"LIFE_INSURANCE","2024-03-15",135,"2022-06-30",7398
5911,"John Davis","ahumphrey@example.org","30011 Pierce Spurs Apt. 643
Lake Brendafort, NY 34077",44,"Female","Multimedia programmer",3257,"LIFE_INSURANCE","2023-07-03",136,"2021-05-24",8520
9341,"Tracy Thompson","brian40@example.net","574 Matthew Ways
Sextonfurt, FM 96012",64,"Male","Physiological scientist",7797,"LIFE_INSURANCE","2023-08-31",137,"2021-06-20",4523
6773,"Kelly Morales","gregory85@example.net","USNV Lara
FPO AA 90258",46,"Male","Clinical biochemist",8083,"LIFE_INSURANCE","2023-01-11",138,"2022-08-10",9807
2956,"Brandon Myers","phyllis31@example.com","Unit 3413 Box 7981
DPO AE 43525",62,"Female","Mental health nurse",3476,"LIFE_INSURANCE","2022-07-01",139,"2022-03-15",9465
4511,"Robert Johnson","nancy68@example.com","185 Browning Harbors
Mitchellfort, MA 39052",61,"Male","Science writer",1984,"HEALTH_INSURANCE","2022-11-28",140,"2022-10-23",7366
