"customer_id","customer_name","customer_email","customer_address","age","gender","occupation","policy_id","policy_type","policy_start_date","policy_days","claim_id","claim_date","claim_amount","claim_category","num_claims","total_claim_amount"
3744,"Victor Jones","james24@example.com","12996 Bradford Greens
New Jason, MO 75850",39,"Female","Comptroller",20,"LIFE_INSURANCE","2023-04-27",-32,NULL,NULL,NULL,NULL,0,NULL
9009,"Lisa Boyer","zwagner@example.net","2571 Gillespie Lane
Bryanburgh, IL 77662",19,"Female","Theme park manager",21,"AUTO_INSURANCE","2023-06-30",-96,NULL,NULL,NULL,NULL,0,NULL
1865,"Monica Jackson","taylorcarroll@example.org","3323 Matthew Flats Apt. 180
East Andrealand, PR 48319",53,"Male","Air cabin crew",22,"HEALTH_INSURANCE","2022-04-25",335,NULL,NULL,NULL,NULL,0,NULL
2200,"Aaron Arellano","collierbrian@example.org","Unit 1624 Box 2816
DPO AA 12496",25,"Female","Therapist, horticultural",23,"AUTO_INSURANCE","2022-09-03",204,4085,"2022-04-10",6878,"High",2,16116
2200,"Aaron Arellano","collierbrian@example.org","Unit 1624 Box 2816
DPO AA 12496",25,"Female","Therapist, horticultural",23,"AUTO_INSURANCE","2022-09-03",204,3472,"2022-12-14",9238,"High",2,16116
8369,"Theresa Chavez","glovershannon@example.org","210 Todd Plaza Suite 256
Mikechester, MA 05597",28,"Male","Catering manager",24,"HEALTH_INSURANCE","2024-02-09",-320,1260,"2021-10-13",9907,"High",1,9907
3862,"Alexandria Oliver","xleonard@example.com","9993 Powell Island
South Nicole, MD 55383",33,"Female","Amenity horticulturist",25,"HEALTH_INSURANCE","2022-07-31",238,NULL,NULL,NULL,NULL,0,NULL
80,"Elizabeth Ford","markmarshall@example.net","8932 Ferguson Via
Patriciashire, NV 91846",37,"Female","Social research officer, government",26,"AUTO_INSURANCE","2023-05-11",-46,NULL,NULL,NULL,NULL,0,NULL
5315,"Bianca Pena","jcox@example.net","173 Riley Ridges
Port John, MP 05873",52,"Female","Armed forces logistics/support/administrative officer",27,"HEALTH_INSURANCE","2022-09-29",178,NULL,NULL,NULL,NULL,1,5504
6269,"Melissa Perez","smithcarrie@example.net","0486 Koch Ville
East Charlotteland, PW 81950",18,"Male","Plant breeder/geneticist",28,"LIFE_INSURANCE","2023-08-05",-132,3501,"2022-08-29",2233,"High",2,5054
6269,"Melissa Perez","smithcarrie@example.net","0486 Koch Ville
East Charlotteland, PW 81950",18,"Male","Plant breeder/geneticist",28,"LIFE_INSURANCE","2023-08-05",-132,1983,"2021-10-31",2821,"High",2,5054
2317,"Brian Nash","trobles@example.net","564 Lopez Lakes
Matthewport, ND 67736",63,"Male","Advertising art director",29,"HEALTH_INSURANCE","2023-07-20",-116,NULL,NULL,NULL,NULL,0,NULL
1208,"James Howard","robertharmon@example.com","77271 Hunt Corner Suite 821
Travisport, PA 55741",45,"Female","Firefighter",30,"LIFE_INSURANCE","2022-05-31",299,3075,"2022-06-04",485,"Low",2,1418
1337,"Matthew Dixon","fisherjacqueline@example.net","PSC 6546, Box 4516
APO AE 79411",41,"Male","Scientist, marine",31,"LIFE_INSURANCE","2023-04-05",-10,NULL,NULL,NULL,NULL,0,NULL
8979,"Jennifer Phelps DVM","flynch@example.net","076 Richard Terrace Suite 602
Walkerville, TX 01414",28,"Female","Minerals surveyor",32,"LIFE_INSURANCE","2023-10-28",-216,1599,"2022-05-07",678,"Medium",2,6043
2670,"Kimberly Gordon","william94@example.com","15012 Murphy Ridges
North Walterville, MS 19743",18,"Male","Broadcast engineer",33,"AUTO_INSURANCE","2024-02-09",-320,1403,"2021-05-07",3465,"High",4,18145
2471,"Jessica Mckay","patrick25@example.com","99492 Daniel Villages Apt. 034
West Kennethside, RI 08421",26,"Male","Engineer, maintenance (IT)",34,"HEALTH_INSURANCE","2023-06-30",-96,NULL,NULL,NULL,NULL,0,NULL
6446,"Craig Porter","ashley15@example.org","908 Avery Throughway Apt. 070
East Tonya, VI 06952",23,"Female","Restaurant manager, fast food",35,"AUTO_INSURANCE","2022-12-05",111,1147,"2022-11-02",4043,"High",2,6944
6446,"Craig Porter","ashley15@example.org","908 Avery Throughway Apt. 070
East Tonya, VI 06952",23,"Female","Restaurant manager, fast food",35,"AUTO_INSURANCE","2022-12-05",111,4383,"2022-01-05",2901,"High",2,6944
9628,"Joseph Robbins","paulasosa@example.com","351 Morrison Meadow
East Julieside, NM 34650",50,"Female","Commercial art gallery manager",36,"LIFE_INSURANCE","2023-07-06",-102,NULL,NULL,NULL,NULL,0,NULL
1187,"Jillian Wood","charleskevin@example.com","94458 Kent Fort Suite 392
East Jacqueline, NH 24306",39,"Female","Trade union research officer",37,"LIFE_INSURANCE","2023-12-08",-257,3293,"2022-09-08",9092,"High",3,12127
2406,"Alison Adams","cassandrawalker@example.com","880 Myers Shores Suite 892
Lake Destinychester, OH 14647",48,"Male","Mudlogger",38,"LIFE_INSURANCE","2023-02-25",29,4178,"2022-09-20",9371,"High",1,9371
4665,"Stephen Payne","andreahunter@example.net","4547 Fuller Road
Colinmouth, ID 66094",47,"Male","Trade mark attorney",39,"LIFE_INSURANCE","2022-07-27",242,NULL,NULL,NULL,NULL,0,NULL
256,"Debra Juarez","steven01@example.com","735 Obrien Knolls
New Matthew, MN 12724",63,"Female","Surveyor, land/geomatics",40,"LIFE_INSURANCE","2023-01-31",54,NULL,NULL,NULL,NULL,0,NULL
7472,"Sarah Mcmahon","christinapacheco@example.net","014 Tapia Fork Apt. 131
West Kennethshire, PR 14166",32,"Female","Press sub",41,"HEALTH_INSURANCE","2022-11-01",145,1049,"2022-02-20",7012,"High",1,7012
2914,"Cindy Zuniga","quinnnancy@example.net","43816 Stevens Via
Port Nathanborough, SC 50865",42,"Female","Engineer, land",42,"HEALTH_INSURANCE","2023-01-27",58,NULL,NULL,NULL,NULL,0,NULL
9671,"Evan Chapman","lopezethan@example.org","290 Braun Well
East Williamport, VI 06814",51,"Female","Product designer",43,"HEALTH_INSURANCE","2022-10-11",166,NULL,NULL,NULL,NULL,2,8196
5531,"Eric Hernandez","taylor44@example.org","56413 Schmidt Courts Suite 228
North Tabithaborough, RI 62177",25,"Female","Secretary, company",44,"AUTO_INSURANCE","2022-06-29",270,338,"2022-02-14",5098,"High",4,25777
5531,"Eric Hernandez","taylor44@example.org","56413 Schmidt Courts Suite 228
North Tabithaborough, RI 62177",25,"Female","Secretary, company",44,"AUTO_INSURANCE","2022-06-29",270,1135,"2022-02-01",9588,"High",4,25777
5531,"Eric Hernandez","taylor44@example.org","56413 Schmidt Courts Suite 228
North Tabithaborough, RI 62177",25,"Female","Secretary, company",44,"AUTO_INSURANCE","2022-06-29",270,1822,"2021-03-22",2017,"High",4,25777
5749,"Frank Cook","donnasullivan@example.com","38428 Sampson Forges Suite 637
Sandovalfort, AS 60772",22,"Female","Corporate investment banker",45,"AUTO_INSURANCE","2024-02-03",-314,NULL,NULL,NULL,NULL,0,NULL
1729,"Alexander Brennan","nrobertson@example.org","6121 Charles Cliffs
North Randy, WI 08885",47,"Female","Chief Marketing Officer",46,"HEALTH_INSURANCE","2023-12-01",-250,NULL,NULL,NULL,NULL,0,NULL
1053,"Melissa Wheeler","williambuchanan@example.net","497 Cynthia Unions
Lake Aprilview, CT 26246",32,"Male","Associate Professor",47,"LIFE_INSURANCE","2023-04-26",-31,3474,"2021-03-30",7824,"High",2,17038
505,"Christopher Hayes","cameronharris@example.com","09518 Marco Walk Apt. 502
East Louisport, RI 56787",49,"Male","Financial adviser",48,"HEALTH_INSURANCE","2022-08-28",210,NULL,NULL,NULL,NULL,2,8397
5651,"Melinda Daniel","angela69@example.com","USCGC Stone
FPO AA 92863",34,"Male","Field trials officer",49,"HEALTH_INSURANCE","2022-03-22",369,NULL,NULL,NULL,NULL,0,NULL
6169,"Dustin Cunningham","herreraamy@example.com","6197 Edwards Tunnel
New Grace, FM 36870",24,"Female","Psychiatric nurse",50,"AUTO_INSURANCE","2023-06-07",-73,NULL,NULL,NULL,NULL,0,NULL
7242,"Robert Kirby","nunezbenjamin@example.org","4293 Gaines Track
Andersontown, WY 19586",49,"Male","Travel agency manager",51,"LIFE_INSURANCE","2023-12-04",-253,NULL,NULL,NULL,NULL,0,NULL
6102,"Tammy Wang","turnermichael@example.org","67455 Daniel Turnpike
New Carolyn, GA 35826",60,"Male","Engineer, manufacturing",52,"AUTO_INSURANCE","2022-11-16",130,NULL,NULL,NULL,NULL,0,NULL
851,"William Carpenter","briantaylor@example.com","799 James Burgs
Calebhaven, MA 86016",56,"Female","Psychologist, clinical",53,"LIFE_INSURANCE","2023-11-01",-220,NULL,NULL,NULL,NULL,0,NULL
9972,"Shannon Kirk","econley@example.org","7041 Austin Flats
West Johnhaven, LA 66859",54,"Female","Investment analyst",54,"LIFE_INSURANCE","2023-11-17",-236,NULL,NULL,NULL,NULL,0,NULL
3826,"Melanie Mcpherson","heidiadams@example.com","9979 Hogan Course
Williamland, AS 12411",64,"Female","Therapist, nutritional",55,"LIFE_INSURANCE","2023-08-14",-141,NULL,NULL,NULL,NULL,0,NULL
4053,"Jennifer Cooper","eyoung@example.net","389 Dawn Summit Apt. 508
South Patriciabury, PA 84934",28,"Male","Air broker",56,"HEALTH_INSURANCE","2022-07-03",266,NULL,NULL,NULL,NULL,0,NULL
1467,"Cynthia Larson DVM","qwong@example.org","5005 Ferguson Throughway Apt. 797
New Ralph, MO 67231",63,"Male","Programme researcher, broadcasting/film/video",57,"LIFE_INSURANCE","2024-03-15",-355,2466,"2022-08-03",4749,"High",2,12763
1999,"Annette Lyons","jared10@example.org","224 Goodwin Stream Apt. 102
South Gregory, ND 63945",58,"Female","Web designer",58,"AUTO_INSURANCE","2022-06-09",290,NULL,NULL,NULL,NULL,0,NULL
9998,"Samuel Bray","larrymartinez@example.org","4356 Jennifer Meadow Suite 242
Kennethland, ND 09689",51,"Female","Chief of Staff",59,"AUTO_INSURANCE","2023-02-24",30,NULL,NULL,NULL,NULL,0,NULL
6436,"Frederick Cook","julian49@example.net","76314 Vargas Knolls Apt. 818
East Andrew, ID 47430",44,"Male","Doctor, hospital",60,"HEALTH_INSURANCE","2022-07-10",259,3502,"2021-07-08",7501,"High",1,7501
2377,"Thomas Adams","bellwilliam@example.com","2942 Katherine Shore Apt. 521
East Christina, AL 33810",58,"Female","Midwife",61,"AUTO_INSURANCE","2023-11-02",-221,NULL,NULL,NULL,NULL,0,NULL
5625,"Jason Leonard","linda79@example.org","332 Davis Viaduct
New Tammybury, VA 62742",43,"Female","Surveyor, minerals",62,"AUTO_INSURANCE","2022-08-03",235,NULL,NULL,NULL,NULL,0,NULL
9202,"Katherine Leon DDS","pjones@example.com","065 Anderson Skyway
East Alexandra, HI 60642",28,"Male","Administrator, charities/voluntary organisations",63,"HEALTH_INSURANCE","2023-03-17",9,3799,"2023-02-08",7320,"High",1,7320
7102,"Kathy Edwards","jeffwatson@example.net","4880 Sharon Gateway Apt. 222
Perryview, AL 78564",65,"Female","Tax adviser",64,"LIFE_INSURANCE","2023-07-28",-124,NULL,NULL,NULL,NULL,0,NULL
1804,"Susan Hayes","scottgonzalez@example.com","30874 Eric Vista
Johnmouth, TX 83776",49,"Female","Education administrator",65,"AUTO_INSURANCE","2023-09-03",-161,NULL,NULL,NULL,NULL,1,113
2781,"Christina Mccoy","qhamilton@example.com","39226 Mark Harbor Suite 260
West Matthewmouth, VA 63351",43,"Male","Interior and spatial designer",66,"AUTO_INSURANCE","2022-04-05",355,NULL,NULL,NULL,NULL,0,NULL
7915,"Carlos Garcia","beckmelissa@example.com","172 Diaz Wall
Millerton, VI 93108",45,"Male","Government social research officer",67,"HEALTH_INSURANCE","2023-03-02",24,2207,"2023-03-06",1564,"Medium",2,9450
7915,"Carlos Garcia","beckmelissa@example.com","172 Diaz Wall
Millerton, VI 93108",45,"Male","Government social research officer",67,"HEALTH_INSURANCE","2023-03-02",24,877,"2022-10-20",7886,"High",2,9450
279,"Bradley Johnson MD","rachel07@example.net","34173 Jennifer Freeway Apt. 152
Lake Melinda, MS 82816",50,"Male","Contracting civil engineer",68,"HEALTH_INSURANCE","2023-10-27",-215,4294,"2021-07-10",4459,"High",3,17378
279,"Bradley Johnson MD","rachel07@example.net","34173 Jennifer Freeway Apt. 152
Lake Melinda, MS 82816",50,"Male","Contracting civil engineer",68,"HEALTH_INSURANCE","2023-10-27",-215,2726,"2022-02-11",3970,"High",3,17378
2325,"Charles Gallagher","tammy66@example.org","18277 Erica Motorway Suite 806
Christopherchester, NE 64361",22,"Female","Cartographer",69,"AUTO_INSURANCE","2023-02-09",45,1545,"2022-07-27",9856,"High",3,29319
2325,"Charles Gallagher","tammy66@example.org","18277 Erica Motorway Suite 806
Christopherchester, NE 64361",22,"Female","Cartographer",69,"AUTO_INSURANCE","2023-02-09",45,2689,"2022-03-09",9875,"High",3,29319
2686,"Taylor Cooke","elizabeth85@example.net","358 Johnson Squares
Evansview, MT 37517",29,"Female","Trade union research officer",70,"LIFE_INSURANCE","2022-07-16",253,NULL,NULL,NULL,NULL,1,1203
7386,"Karen Pacheco","gabriel06@example.net","18718 Lewis Ramp Suite 677
Kiddberg, VT 95410",60,"Male","Health and safety adviser",71,"LIFE_INSURANCE","2024-01-09",-289,NULL,NULL,NULL,NULL,2,5817
2553,"Michelle Scott","john15@example.net","2777 Dawn Ville Apt. 959
Smithland, ND 25013",22,"Female","Quarry manager",72,"AUTO_INSURANCE","2022-06-26",273,4379,"2022-12-23",4932,"High",1,4932
2929,"Kenneth Hansen","qmorales@example.net","3934 Nina Islands
New Jennifer, DC 62960",21,"Male","Education officer, museum",73,"LIFE_INSURANCE","2023-06-13",-79,516,"2021-12-19",9711,"High",1,9711
6435,"Mary Clements","whitemelissa@example.net","099 Sullivan Square Suite 380
Kingshire, AZ 10378",40,"Female","Corporate treasurer",74,"AUTO_INSURANCE","2023-05-25",-60,NULL,NULL,NULL,NULL,0,NULL
6734,"Thomas Roach","scottheidi@example.net","487 Blair Keys
Carneyhaven, MO 12007",59,"Female","Buyer, retail",75,"AUTO_INSURANCE","2023-08-10",-137,2731,"2021-12-30",3032,"High",2,7031
6734,"Thomas Roach","scottheidi@example.net","487 Blair Keys
Carneyhaven, MO 12007",59,"Female","Buyer, retail",75,"AUTO_INSURANCE","2023-08-10",-137,4317,"2021-12-09",3999,"High",2,7031
2141,"Stephanie Morgan","kelseyholt@example.net","1387 Brandon Walk Apt. 797
Lake Sydneymouth, LA 38562",52,"Male","Advertising copywriter",76,"HEALTH_INSURANCE","2022-12-02",114,406,"2022-05-27",5186,"High",1,5186
4184,"Richard Mcneil","houseanna@example.org","PSC 3881, Box 3831
APO AE 31506",45,"Female","Public librarian",77,"LIFE_INSURANCE","2023-09-03",-161,NULL,NULL,NULL,NULL,0,NULL
4629,"Faith Ayala","robin30@example.net","35002 Fuller Via
East Ryanburgh, SD 67907",43,"Female","Accommodation manager",78,"HEALTH_INSURANCE","2022-08-29",209,NULL,NULL,NULL,NULL,3,15401
4444,"Dana Adams","ytorres@example.org","81671 Jeffrey Isle
Lake Melindaborough, IL 04804",61,"Female","Pension scheme manager",79,"LIFE_INSURANCE","2023-07-20",-116,431,"2021-07-09",9249,"High",3,19941
4444,"Dana Adams","ytorres@example.org","81671 Jeffrey Isle
Lake Melindaborough, IL 04804",61,"Female","Pension scheme manager",79,"LIFE_INSURANCE","2023-07-20",-116,1817,"2021-08-24",2779,"High",3,19941
4045,"Pamela Thompson","juliegreen@example.com","342 Walter Rapid Suite 495
Ramirezburgh, VT 55482",47,"Male","Scientist, physiological",80,"AUTO_INSURANCE","2022-04-02",358,NULL,NULL,NULL,NULL,2,7194
4986,"William Farley","christopher15@example.com","9645 Donna Hills Apt. 290
Joshuatown, CA 47432",57,"Female","Adult guidance worker",81,"HEALTH_INSURANCE","2024-03-01",-341,NULL,NULL,NULL,NULL,0,NULL
567,"Sabrina Arellano","robertcoffey@example.org","13476 Christopher Mission Apt. 207
Dustinhaven, NM 71430",46,"Female","Scientist, marine",82,"LIFE_INSURANCE","2024-03-16",-356,2082,"2021-12-05",7241,"High",1,7241
5857,"Michelle Miller","kbryan@example.org","USS Thomas
FPO AP 49147",42,"Male","Theatre director",83,"HEALTH_INSURANCE","2022-04-18",342,1778,"2021-10-13",7524,"High",1,7524
3539,"Diana Thompson","sheamaria@example.org","89357 Rose Plains Suite 496
South Ericfort, IN 90897",51,"Female","Scientist, water quality",84,"AUTO_INSURANCE","2023-09-28",-186,4394,"2021-05-16",1848,"Medium",1,1848
255,"Gary Jimenez","harrelljennifer@example.org","0179 Bobby Landing Suite 243
Stacyberg, PA 43409",18,"Female","Health physicist",85,"HEALTH_INSURANCE","2023-09-26",-184,NULL,NULL,NULL,NULL,0,NULL
8593,"Lauren Benson","ldavis@example.org","Unit 4690 Box 7306
DPO AA 42657",23,"Male","Civil Service fast streamer",86,"HEALTH_INSURANCE","2023-02-10",44,NULL,NULL,NULL,NULL,0,NULL
7953,"James Cook","fchan@example.net","02613 Gibbs Bridge
Juliechester, IL 80803",41,"Male","Government social research officer",87,"LIFE_INSURANCE","2024-03-10",-350,2901,"2021-11-30",5462,"High",1,5462
8463,"James Smith","wellsmichael@example.net","5950 Sabrina Field Apt. 737
Deanfort, CA 36671",23,"Male","Banker",88,"HEALTH_INSURANCE","2023-07-11",-107,NULL,NULL,NULL,NULL,0,NULL
6875,"Jennifer Hamilton","brian36@example.com","368 Brian Fields
North Juan, OH 76375",26,"Male","Equities trader",89,"LIFE_INSURANCE","2023-07-06",-102,NULL,NULL,NULL,NULL,0,NULL
5417,"Jermaine Garcia","jamie07@example.net","304 Nicholas Plaza
East Saraside, WY 29137",18,"Male","Recruitment consultant",90,"LIFE_INSURANCE","2023-02-12",42,2274,"2022-02-19",1919,"Medium",1,1919
7500,"Phillip Harris","powelljason@example.net","43695 Michael Way
Wilsonview, AR 22909",59,"Female","Counsellor",91,"HEALTH_INSURANCE","2024-03-01",-341,2669,"2022-04-17",213,"Low",3,11010
7500,"Phillip Harris","powelljason@example.net","43695 Michael Way
Wilsonview, AR 22909",59,"Female","Counsellor",91,"HEALTH_INSURANCE","2024-03-01",-341,4492,"2021-04-26",5299,"High",3,11010
6898,"Daniel Wilson","esparzalisa@example.org","803 Turner Divide
Port Elizabethchester, FM 04792",59,"Male","Editor, commissioning",92,"HEALTH_INSURANCE","2022-05-31",299,1398,"2022-12-03",341,"Low",3,15752
6898,"Daniel Wilson","esparzalisa@example.org","803 Turner Divide
Port Elizabethchester, FM 04792",59,"Male","Editor, commissioning",92,"HEALTH_INSURANCE","2022-05-31",299,1380,"2022-05-23",8844,"High",3,15752
5057,"Melissa Castillo","cbush@example.org","81663 Campbell Orchard
Antonioport, SD 76421",19,"Female","Estate manager/land agent",93,"HEALTH_INSURANCE","2022-06-08",291,NULL,NULL,NULL,NULL,0,NULL
6899,"Kelsey Adams","torreskaren@example.com","429 Wallace Common Suite 307
Sarahchester, IN 97063",26,"Female","Consulting civil engineer",94,"AUTO_INSURANCE","2024-01-11",-291,1155,"2022-03-14",2075,"High",3,15622
6899,"Kelsey Adams","torreskaren@example.com","429 Wallace Common Suite 307
Sarahchester, IN 97063",26,"Female","Consulting civil engineer",94,"AUTO_INSURANCE","2024-01-11",-291,642,"2023-01-31",8686,"High",3,15622
5879,"Brian Johnson","lneal@example.com","1843 Sabrina Throughway Suite 202
Lake Morgan, NJ 84811",29,"Female","Chief of Staff",95,"LIFE_INSURANCE","2024-01-27",-307,4787,"2021-09-19",7067,"High",1,7067
3242,"Tammy Romero","kevinmartinez@example.org","81882 Andrew Row Apt. 735
New Carolyn, NE 05126",65,"Male","Dance movement psychotherapist",96,"HEALTH_INSURANCE","2022-08-25",213,4622,"2021-09-09",7667,"High",3,25183
3242,"Tammy Romero","kevinmartinez@example.org","81882 Andrew Row Apt. 735
New Carolyn, NE 05126",65,"Male","Dance movement psychotherapist",96,"HEALTH_INSURANCE","2022-08-25",213,262,"2021-10-28",9605,"High",3,25183
3242,"Tammy Romero","kevinmartinez@example.org","81882 Andrew Row Apt. 735
New Carolyn, NE 05126",65,"Male","Dance movement psychotherapist",96,"HEALTH_INSURANCE","2022-08-25",213,261,"2021-04-21",7911,"High",3,25183
5898,"Nathan Pratt","xrichardson@example.org","397 Jonathan Crescent Apt. 917
Lawrencetown, MI 30953",30,"Female","Medical sales representative",97,"LIFE_INSURANCE","2022-04-19",341,1887,"2022-04-23",9088,"High",1,9088
1950,"Stephen Strickland","hornkara@example.com","605 Richmond Bypass Apt. 862
East Marthafurt, LA 38192",45,"Female","Recruitment consultant",98,"HEALTH_INSURANCE","2023-07-26",-122,NULL,NULL,NULL,NULL,0,NULL
416,"Wayne Kane","gomezdiana@example.net","718 Austin Fort Apt. 500
Weaverberg, SC 12167",25,"Male","Building control surveyor",99,"LIFE_INSURANCE","2022-11-12",134,NULL,NULL,NULL,NULL,1,3792
176,"Julie Howard","fbaker@example.net","78862 Karen Fork
Brianbury, NH 23144",18,"Male","Conservator, furniture",100,"HEALTH_INSURANCE","2023-06-27",-93,NULL,NULL,NULL,NULL,0,NULL
6917,"Michael Vargas","mayala@example.net","72620 Harrison Brooks Apt. 519
Ronaldchester, GA 74726",47,"Male","Health and safety inspector",101,"HEALTH_INSURANCE","2023-08-17",-144,2381,"2022-09-28",293,"Low",2,1720
6917,"Michael Vargas","mayala@example.net","72620 Harrison Brooks Apt. 519
Ronaldchester, GA 74726",47,"Male","Health and safety inspector",101,"HEALTH_INSURANCE","2023-08-17",-144,2870,"2022-07-01",1427,"Medium",2,1720
6138,"Maria Allen","millsandrew@example.com","5092 Martinez Extension
Fernandezburgh, MN 77903",24,"Female","Sports therapist",102,"LIFE_INSURANCE","2023-10-11",-199,2116,"2022-12-20",5464,"High",3,17400
6138,"Maria Allen","millsandrew@example.com","5092 Martinez Extension
Fernandezburgh, MN 77903",24,"Female","Sports therapist",102,"LIFE_INSURANCE","2023-10-11",-199,1039,"2021-11-01",4152,"High",3,17400
6214,"Nicole Stafford","karen21@example.com","1958 Thompson Trafficway Suite 257
New Rebecca, RI 67700",33,"Female","Cytogeneticist",103,"AUTO_INSURANCE","2024-01-25",-305,4011,"2023-03-19",5675,"High",1,5675
8423,"Maria Patterson","jill11@example.com","780 Garcia Fort Suite 522
East Jonathanmouth, NE 36075",34,"Male","Museum/gallery curator",104,"HEALTH_INSURANCE","2023-12-12",-261,NULL,NULL,NULL,NULL,2,7537
1644,"Lori Mitchell","cobblisa@example.com","PSC 6910, Box 2847
APO AE 54802",43,"Female","Biochemist, clinical",105,"AUTO_INSURANCE","2022-07-24",245,NULL,NULL,NULL,NULL,3,16696
9262,"Ian Owens","anita61@example.org","9846 Kevin Branch
Mathewhaven, VT 12651",45,"Male","Designer, interior/spatial",106,"LIFE_INSURANCE","2023-04-06",-11,NULL,NULL,NULL,NULL,5,22646
4240,"Emily Kennedy","colleen31@example.com","9270 David Cliffs Suite 885
Port Kathleen, MH 89962",54,"Female","Designer, textile",107,"HEALTH_INSURANCE","2022-09-22",185,NULL,NULL,NULL,NULL,0,NULL
